date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:56:04	29449/29449	---M--	200	added ('OK')	image/png	etag:%2265c335f6-7309%22	https://manta.network/assets/img/achievements-card-1-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/achievements-card-1-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:04	406357/406357	---M--	200	added ('OK')	image/png	etag:%2265c335f6-63355%22	https://manta.network/assets/img/where-we-are-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/where-we-are-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:04	36722/36722	---M--	200	added ('OK')	image/png	etag:%2265c335f6-8f72%22	https://manta.network/assets/img/achievements-card-2-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/achievements-card-2-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:04	28618/28618	---M--	200	added ('OK')	image/png	etag:%2265c335f6-6fca%22	https://manta.network/assets/img/achievements-card-3-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/achievements-card-3-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:06	701577/701577	---M--	200	added ('OK')	image/png	etag:%2265c335f6-ab489%22	https://manta.network/assets/img/events/event-1-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/events/event-1-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:06	394077/394077	---M--	200	added ('OK')	image/png	etag:%2265c335f6-6035d%22	https://manta.network/assets/img/events/event-2-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/events/event-2-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:08	450622/450622	---M--	200	added ('OK')	image/png	etag:%2265c335f6-6e03e%22	https://manta.network/assets/img/events/event-3-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/events/event-3-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:09	36118/36118	---M--	200	added ('OK')	image/png	etag:%2265c335f6-8d16%22	https://manta.network/assets/img/newsletter-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/newsletter-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:09	347996/347996	---M--	200	added ('OK')	image/png	etag:%2265c335f6-54f5c%22	https://manta.network/assets/img/events/event-6-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/events/event-6-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:11	4911/4911	---MCZ	200	added ('OK')	text/css	etag:W/%222c68a836a6584414d525e980073ec49a%22	http://cdn-images.mailchimp.com/embedcode/classic-071822.css	C:/My%20Web%20Sites/tawio/cdn-images.mailchimp.com/embedcode/classic-071822.css	(from https://manta.network/?utm_source=icodrops)
04:56:12	1580/1580	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-62c%22	https://manta.network/assets/img/socials/discord-color-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/discord-color-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:13	802/802	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-322%22	https://manta.network/assets/img/socials/telegram-color-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/telegram-color-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:13	1363/1363	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-553%22	https://manta.network/assets/img/socials/twitter-color-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/twitter-color-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:14	1819/1819	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-71b%22	https://manta.network/assets/img/socials/github-color-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/github-color-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:14	1018/1018	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-3fa%22	https://manta.network/assets/img/socials/youtube-color-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/youtube-color-icon.svg	(from https://manta.network/?utm_source=icodrops)
